heure_estimee,complexite,priorite,tache,experience_technicien,meteo,saison,duree_reelle
2,2,1,0,1.71,3,3,6.5
1,3,3,20,0.5,2,3,5.05
1,1,2,4,1.35,0,1,0.5
4,1,3,18,0.94,3,3,9.27
3,2,2,8,0.53,2,3,7.8
3,2,4,9,1.67,2,2,5.2
4,3,3,18,1.15,2,0,6.84
3,1,2,8,1.67,2,1,3.29
3,3,1,2,0.58,3,1,4.98
2,3,1,3,1.89,2,3,5.49
2,1,2,20,1.97,0,2,0.5
3,2,4,6,1.19,0,1,0.83
4,3,2,2,1.34,0,0,4.38
3,3,1,22,1.1,1,1,3.34
3,2,4,12,0.98,2,3,7.53
2,2,4,12,0.99,3,3,5.89
2,3,4,11,1.52,0,0,1.04
1,3,2,10,0.98,3,3,6.45
3,3,1,2,1.55,3,3,8.8
1,2,3,8,1.73,2,1,0.5
3,2,4,13,1.66,0,3,3.38
4,2,2,6,1.1,3,1,5.46
4,2,3,22,1.56,0,1,1.21
1,2,3,12,1.33,2,1,0.5
2,1,2,8,1.38,1,2,1.03
2,1,1,4,1.92,1,3,4.61
1,3,2,5,0.9,2,3,5.35
1,3,3,1,1.53,0,0,0.5
4,2,3,22,1.11,0,1,2.19
4,3,2,22,1.11,2,1,4.91
3,2,1,2,1.54,1,1,2.72
1,2,3,4,1.2,3,1,2.11
2,1,4,0,1.05,3,0,4.84
4,1,3,6,1.98,3,2,7.74
1,3,4,17,0.51,1,1,0.5
2,2,3,11,1.79,1,2,2.71
1,1,1,1,1.79,2,2,4.67
2,2,1,0,2.0,2,1,2.97
4,2,2,22,0.57,1,0,3.79
3,1,4,16,0.91,2,2,6.24
4,1,2,18,1.89,2,2,5.97
1,1,3,5,1.11,0,0,0.5
2,2,2,4,0.99,3,0,4.94
4,2,4,4,0.52,2,0,5.59
1,2,2,21,1.58,3,3,6.09
3,2,1,15,0.9,3,3,8.51
2,3,1,1,0.72,0,2,4.85
2,2,3,7,1.86,0,2,1.58
1,3,2,15,1.38,0,3,3.0
2,2,2,11,1.69,1,0,1.68
4,1,3,2,1.5,0,3,2.49
3,2,1,3,0.51,1,2,3.65
3,2,1,24,1.6,2,0,3.88
3,1,3,22,0.54,3,3,8.04
3,1,2,20,1.48,3,0,3.91
3,3,2,3,1.66,3,2,6.99
4,3,1,14,1.36,0,3,5.05
3,3,4,15,1.09,0,2,3.48
1,3,4,2,1.16,1,1,1.11
2,2,1,5,1.6,3,3,8.44
4,3,2,13,1.93,2,3,8.02
2,1,2,23,1.26,1,0,2.65
1,3,2,25,0.81,3,2,4.75
3,2,4,11,0.79,3,1,4.94
3,3,1,15,1.37,1,3,4.78
4,3,2,25,0.55,1,2,6.68
4,3,3,25,1.6,1,3,7.42
4,2,4,3,1.61,1,3,6.13
3,1,1,19,1.3,3,3,6.8
1,3,2,2,0.85,1,2,2.81
4,1,1,8,1.73,3,0,6.41
4,3,1,16,0.71,0,2,6.53
3,3,3,19,0.58,2,3,8.19
4,2,3,25,1.87,2,2,6.27
3,3,2,13,1.9,3,0,5.93
4,3,3,6,1.6,1,2,5.71
1,3,1,8,0.94,3,3,7.38
2,1,4,17,0.72,1,3,3.7
3,3,4,12,0.62,0,0,1.05
3,2,1,2,1.63,1,0,3.37
2,1,3,4,1.56,1,0,1.83
2,3,2,18,0.61,2,0,6.59
4,3,4,21,0.77,2,0,6.24
2,3,1,22,0.72,3,1,4.41
4,3,1,18,1.02,1,1,5.07
3,2,2,25,1.97,3,1,4.71
2,2,1,25,1.58,3,0,5.05
3,3,3,19,1.92,1,3,6.32
2,1,4,20,1.54,2,0,3.39
1,3,4,21,1.97,0,1,0.5
2,2,1,3,1.49,2,2,4.11
2,1,2,23,1.18,0,1,0.5
2,3,3,23,1.78,2,1,4.35
2,3,1,15,1.38,1,3,5.79
1,1,3,16,1.79,1,0,0.5
1,2,1,11,0.62,2,0,3.39
3,3,2,25,0.62,3,2,7.94
4,1,1,3,0.51,3,2,8.17
4,3,3,15,1.91,2,0,5.66
1,1,3,3,1.14,2,0,1.36
2,2,4,12,1.46,2,3,6.04
4,3,4,24,1.33,1,2,4.2
1,1,2,19,1.31,2,3,4.37
3,1,2,8,0.71,1,0,3.27
4,1,2,10,0.53,3,2,8.23
3,1,3,15,0.66,2,1,2.16
4,2,2,4,1.27,2,0,6.4
3,2,2,20,1.87,1,2,4.35
2,3,2,2,1.16,1,2,2.59
2,2,1,6,1.75,1,3,4.61
3,2,2,12,0.97,1,2,4.21
1,3,4,22,1.43,0,1,0.5
1,2,1,11,0.55,3,0,4.29
3,2,4,1,1.12,0,1,1.29
4,3,3,8,1.29,3,3,9.98
4,1,3,4,0.87,0,2,1.9
1,1,1,5,1.0,0,2,1.26
3,1,1,14,0.56,3,0,5.58
1,3,2,2,1.41,1,0,2.18
4,2,1,20,1.94,0,1,2.22
1,2,1,8,1.81,1,2,2.39
2,2,1,20,1.61,0,1,0.5
3,2,1,15,1.94,1,1,2.14
2,3,4,21,1.77,3,2,5.84
1,3,4,9,0.69,3,3,5.44
3,3,4,17,1.65,1,1,1.46
3,1,4,16,1.98,1,3,2.05
1,3,1,16,1.41,2,0,4.92
1,1,2,13,0.8,3,2,5.25
1,2,2,20,1.61,3,2,6.21
2,2,3,9,0.68,3,0,5.05
1,3,1,2,0.72,0,3,4.12
4,2,1,14,1.72,2,0,4.81
1,1,3,17,1.5,1,3,2.74
4,1,2,6,1.5,1,0,3.11
1,2,1,11,0.67,0,2,1.66
1,3,4,3,0.75,3,3,5.9
1,1,4,11,1.87,3,1,0.5
4,1,3,24,1.92,3,1,3.22
4,1,2,3,0.84,3,3,9.37
1,3,3,11,1.73,2,3,6.26
3,1,2,3,1.58,2,2,4.31
2,1,1,15,0.5,1,2,2.6
4,1,2,13,0.66,2,3,7.39
1,3,1,21,1.29,3,1,4.41
3,1,4,25,1.52,1,0,1.3
2,1,1,9,0.91,2,0,2.44
3,1,1,13,1.11,1,3,6.01
4,2,4,16,1.46,0,3,3.35
2,2,4,7,1.69,3,1,3.61
3,2,2,3,1.83,0,1,0.5
2,1,3,15,1.0,2,2,4.05
2,3,3,14,0.95,3,2,7.5
3,2,4,7,1.57,3,3,7.64
1,3,3,5,0.82,3,0,4.63
2,2,2,8,0.92,2,2,4.75
4,1,2,13,1.84,1,0,1.64
3,1,1,8,1.17,0,3,3.12
1,3,2,17,0.7,0,0,0.92
1,1,2,25,0.88,1,2,0.9
3,1,2,2,0.93,3,0,6.61
2,1,4,12,1.26,2,0,2.27
4,2,2,11,1.4,3,0,6.63
4,3,1,24,1.44,0,2,4.42
4,1,4,5,0.73,2,2,4.93
3,1,3,14,1.0,2,3,7.34
3,2,3,1,1.84,1,0,2.38
3,2,4,22,1.87,1,3,5.36
2,2,3,3,1.94,2,1,1.94
2,2,1,14,1.57,1,3,3.35
3,2,3,18,1.93,3,2,7.08
2,1,3,1,1.69,3,2,6.14
2,3,1,21,0.67,3,3,9.68
1,2,3,12,0.52,3,1,2.15
4,3,3,5,1.35,3,0,8.46
3,2,2,12,1.06,1,1,0.87
1,2,1,13,1.77,3,3,7.24
1,1,1,8,1.27,2,2,4.38
3,2,2,8,0.81,3,2,6.84
3,1,2,14,1.52,1,3,5.1
4,1,3,16,1.15,1,0,2.16
3,3,1,10,1.95,3,3,9.57
3,2,3,12,1.2,0,3,4.2
2,3,4,14,1.72,1,2,3.83
1,1,3,9,1.45,3,1,1.36
2,3,2,22,1.21,2,3,7.44
2,1,2,7,1.48,3,2,5.77
1,2,4,14,1.99,1,0,0.5
4,3,1,16,1.55,3,1,6.69
4,3,1,0,0.52,1,1,3.37
1,3,4,13,0.64,1,3,3.4
1,2,2,24,1.54,3,2,5.29
3,2,3,21,1.35,3,3,7.78
2,3,3,19,0.54,3,0,4.39
4,2,1,13,1.99,0,0,1.96
2,3,4,18,1.94,1,0,1.56
1,3,4,20,1.93,1,0,0.5
3,3,3,18,1.57,0,3,3.72
3,3,1,19,1.96,0,0,1.56
2,2,1,17,1.44,2,2,6.51
4,2,3,10,1.01,2,3,8.24
3,2,2,5,1.68,3,3,6.5
1,3,2,21,1.51,2,3,6.09
3,1,1,11,0.85,1,3,4.47
1,2,2,5,0.59,2,0,4.12
3,2,3,2,1.7,0,0,2.39
1,1,3,19,0.5,0,3,0.86
4,2,4,12,1.32,2,1,4.23
4,2,1,5,0.81,2,3,9.44
1,3,2,24,0.97,1,3,5.28
1,2,4,16,0.81,0,2,1.63
2,2,3,11,0.98,0,2,2.61
3,3,1,15,0.6,3,1,5.04
2,1,3,16,1.75,2,1,1.17
3,3,2,13,1.2,1,0,2.64
3,1,3,23,0.85,2,0,4.1
1,1,3,1,1.63,2,1,0.5
4,1,2,19,1.17,2,1,4.39
4,2,1,1,1.5,0,2,3.05
3,3,2,13,1.02,2,1,5.76
3,2,1,5,0.81,3,2,7.51
3,2,2,23,1.08,0,0,2.73
2,3,4,17,1.53,0,3,3.61
2,1,3,21,0.78,0,3,3.47
2,3,1,18,1.24,1,0,2.88
3,2,4,10,1.16,2,3,7.38
4,3,3,6,1.54,0,2,4.47
3,2,3,8,0.68,1,1,2.63
1,1,2,11,1.8,3,1,0.88
4,1,4,11,1.32,2,2,6.67
2,2,4,24,1.23,2,2,5.0
3,3,1,17,1.16,1,3,7.23
1,3,1,10,1.14,1,3,4.7
1,3,4,5,1.28,3,2,4.3
2,1,3,22,1.09,1,0,0.5
1,2,1,8,0.88,1,3,3.56
4,2,2,4,1.18,2,3,9.17
2,2,1,18,0.98,0,1,0.5
1,1,1,4,1.66,3,3,6.6
3,2,2,24,1.38,2,2,7.0
2,2,3,23,1.31,0,3,4.15
1,1,4,2,0.94,0,1,0.5
