heure_estimee,complexite,priorite,phase,experience_technicien,meteo,saison,duree_reelle
13,1,3,1,0.79,0,1,9.35
11,1,4,4,1.31,1,2,9.83
10,2,1,1,0.98,2,2,14.7
15,1,3,2,0.85,2,3,17.59
2,2,2,0,1.5,1,3,4.92
9,2,1,0,1.53,2,0,9.78
10,2,3,1,1.14,0,3,12.22
20,3,2,2,0.69,1,1,19.67
2,3,1,4,0.9,2,0,4.89
19,1,4,4,0.86,3,3,21.55
16,3,4,1,1.21,0,2,15.27
19,1,1,2,1.09,2,3,22.42
19,3,3,3,1.43,0,0,17.21
8,1,1,1,1.96,0,3,8.87
18,3,1,4,1.81,1,0,18.61
5,2,1,3,1.48,2,3,9.16
7,2,4,2,0.54,3,2,11.21
5,1,3,1,1.34,0,0,3.8
3,3,4,3,1.64,3,0,4.5
14,1,2,4,1.07,0,1,10.94
17,2,2,2,0.72,0,2,17.4
3,2,1,3,1.44,2,1,5.3
6,2,4,4,1.63,0,1,3.47
6,1,4,1,0.94,1,2,5.63
3,2,4,1,1.65,2,0,2.78
18,3,3,4,0.72,1,1,17.89
2,3,2,3,1.08,1,2,3.81
6,2,4,0,0.98,2,2,8.7
14,2,2,1,1.75,3,0,16.5
6,3,4,2,1.06,3,1,8.76
17,2,3,2,0.77,2,0,18.16
18,2,4,4,0.6,3,3,21.96
12,1,3,4,1.64,2,2,15.18
7,1,4,0,1.62,0,1,2.67
2,3,3,4,0.99,2,2,4.59
11,2,3,2,1.24,2,2,12.66
6,1,1,2,0.69,2,3,10.96
7,3,4,1,1.21,0,1,5.03
9,3,2,2,1.32,1,1,8.9
17,3,3,4,1.15,0,3,19.81
15,1,1,2,0.9,3,1,17.34
19,1,2,3,0.67,0,1,16.81
10,3,2,1,0.63,1,0,12.6
20,1,3,1,0.51,0,2,19.46
11,1,1,1,1.54,3,0,13.44
3,1,1,1,1.63,3,2,7.36
8,1,1,2,1.32,2,0,9.55
5,3,3,0,1.92,1,0,5.95
7,1,2,2,1.09,3,3,11.34
14,2,3,2,1.58,1,0,14.74
7,1,3,1,1.31,3,3,10.1
10,2,1,0,1.9,3,0,13.84
20,3,4,2,1.44,0,3,21.59
3,1,4,2,1.07,0,1,1.0
5,2,2,3,1.13,2,2,7.91
18,3,2,4,1.58,3,3,24.75
11,3,1,2,0.99,3,2,14.99
20,1,4,1,1.87,2,3,21.85
14,3,2,2,1.68,2,0,17.34
4,2,1,0,1.14,2,0,6.7
4,1,4,0,1.9,3,1,2.99
12,1,2,4,1.94,2,1,12.91
19,1,1,4,1.17,2,3,22.32
5,1,3,2,1.9,1,3,6.27
7,1,4,2,0.64,3,1,9.4
3,3,2,2,1.19,1,2,5.0
15,1,3,2,0.63,3,0,18.36
18,1,1,0,1.52,0,1,16.67
8,3,1,1,1.02,3,1,11.66
16,2,4,0,1.36,2,1,14.97
16,1,2,1,1.84,3,2,20.31
8,3,4,0,0.83,3,0,11.77
9,1,2,2,0.78,0,0,6.94
4,2,2,2,0.83,2,3,8.12
15,2,4,2,1.01,1,2,16.89
18,1,1,3,1.96,2,1,19.53
19,2,1,4,1.13,2,1,20.65
18,2,4,2,0.58,3,2,23.14
15,3,3,1,1.27,3,3,20.73
18,1,2,0,0.68,1,3,18.94
16,2,3,2,1.1,2,1,17.83
14,3,2,3,1.72,3,1,17.06
17,1,4,4,1.25,3,2,21.0
6,3,1,0,1.5,2,1,7.26
7,1,2,0,0.73,3,2,10.41
17,3,1,3,0.53,2,2,20.22
8,3,1,3,0.67,2,1,11.61
14,2,1,1,0.81,1,0,14.71
11,3,1,0,1.92,2,0,13.88
5,3,4,0,0.54,3,1,8.5
2,2,4,1,1.2,2,2,4.51
3,1,3,1,1.2,2,0,2.77
11,1,3,4,0.89,1,0,11.75
8,3,4,3,0.94,0,3,8.64
14,3,3,2,0.93,0,3,16.25
5,2,1,0,1.53,0,3,5.34
4,2,3,3,1.65,2,3,6.56
6,1,2,4,0.93,1,3,7.06
17,3,4,1,1.02,0,1,16.4
7,3,2,1,0.94,0,0,5.99
12,1,4,0,1.72,1,0,9.44
4,3,1,1,1.54,2,1,4.97
6,3,2,3,1.66,0,2,7.51
20,2,2,2,1.43,3,2,22.46
7,1,2,1,1.72,1,3,9.48
15,3,2,3,0.62,3,3,19.7
2,1,2,2,1.82,1,2,2.99
20,3,1,1,1.24,0,0,19.72
9,1,2,3,1.76,2,1,9.54
17,1,3,1,1.34,0,2,14.95
13,1,3,0,1.14,2,0,14.49
16,2,2,4,1.75,0,0,15.06
7,3,2,2,1.5,0,3,10.1
13,1,4,1,1.4,1,3,13.17
19,3,4,3,1.66,0,0,19.04
12,2,2,4,1.44,3,3,16.11
9,1,1,3,1.98,3,1,9.28
10,2,4,0,1.32,1,1,8.53
19,1,4,1,0.73,1,2,17.62
13,2,2,3,1.85,1,2,12.74
7,1,3,2,1.68,3,1,9.11
6,3,4,2,0.55,0,3,6.09
19,1,3,0,1.15,0,0,17.87
4,1,2,1,0.93,2,3,6.76
12,2,4,1,1.18,3,2,15.57
6,1,4,2,1.86,0,3,6.75
4,1,4,4,0.87,1,0,4.22
19,1,4,2,1.96,3,0,20.72
7,3,2,3,1.2,1,1,6.92
9,3,4,1,0.53,3,2,14.71
5,1,2,3,1.21,2,3,6.89
9,1,3,0,0.63,2,0,10.31
12,2,3,3,1.06,2,3,15.83
15,3,4,3,1.6,2,1,16.1
14,3,1,1,1.22,0,2,16.27
17,3,3,1,1.09,1,0,17.63
8,2,1,4,0.93,1,0,8.88
16,2,3,1,0.66,1,0,15.89
12,3,4,1,1.99,2,3,14.64
15,1,1,0,1.08,2,3,17.57
5,3,2,2,1.96,0,2,4.03
17,2,4,1,0.77,2,1,17.79
12,2,1,0,1.98,3,1,12.83
7,1,1,2,1.78,3,1,9.38
12,2,3,2,1.3,0,3,12.74
16,1,3,3,1.39,0,2,14.96
11,1,3,1,0.74,1,2,12.64
16,2,3,3,1.33,1,3,17.16
12,3,2,3,1.71,2,2,14.46
20,2,2,2,0.61,2,2,22.66
20,2,3,0,1.88,3,2,23.66
19,1,2,3,1.17,2,2,21.85
14,2,3,0,1.11,0,0,13.69
6,1,1,0,1.72,3,1,7.89
19,1,3,1,1.98,2,0,20.38
2,1,2,1,0.54,1,2,1.59
7,1,3,1,1.86,1,0,5.73
5,2,4,4,0.52,0,2,4.71
4,1,4,4,1.22,0,3,4.58
10,3,2,2,1.36,3,1,11.32
13,1,3,0,0.53,3,2,16.73
9,3,1,2,1.78,3,2,13.05
17,3,1,4,1.74,0,0,15.44
3,1,2,3,0.95,3,2,7.52
14,2,4,3,0.65,3,1,16.38
5,3,4,2,0.73,3,3,10.21
3,2,1,0,1.74,3,3,7.09
9,1,2,4,0.9,1,1,8.3
9,3,1,4,0.64,3,3,14.89
9,3,1,3,1.33,2,0,13.26
18,2,3,4,1.34,1,0,16.72
18,3,1,1,0.93,2,1,19.95
5,3,4,0,0.76,2,1,6.97
16,3,3,0,1.67,2,1,18.43
8,1,3,1,0.85,2,1,8.49
19,3,4,1,0.7,0,1,16.17
2,1,4,4,0.62,0,3,3.48
10,3,3,3,0.86,3,0,13.19
5,2,1,0,1.44,0,2,6.58
3,2,4,0,0.98,3,0,4.88
18,2,2,2,1.44,0,1,14.98
3,2,2,2,0.84,2,1,4.24
6,1,1,0,0.6,2,0,7.15
5,1,4,3,1.72,1,2,4.06
19,3,4,0,0.67,0,3,21.5
11,1,2,3,0.96,1,0,11.97
6,2,3,2,1.89,1,2,4.96
17,2,4,4,1.89,3,3,21.53
13,1,3,1,1.91,0,2,11.55
10,3,3,3,0.62,2,1,12.17
15,3,4,4,0.82,3,2,20.39
16,2,2,3,0.7,1,1,15.19
18,2,2,2,0.95,0,3,18.15
2,2,2,3,1.46,3,1,2.64
3,1,2,3,0.52,0,1,1.0
6,2,4,3,0.66,1,3,6.98
12,1,2,2,0.94,3,3,15.82
6,2,3,1,0.59,0,3,8.46
18,3,2,3,0.77,3,1,22.29
4,2,2,2,1.1,3,0,6.94
12,3,1,0,0.75,0,2,11.97
20,2,2,1,1.48,1,0,19.88
9,1,4,4,1.71,0,3,8.89
6,3,3,2,1.22,3,2,11.13
7,1,3,4,1.73,1,1,3.5
3,2,1,2,0.92,1,0,2.57
12,2,1,2,0.53,2,3,15.95
7,3,1,3,1.63,2,1,10.15
14,3,2,2,0.53,0,0,13.85
13,2,4,2,0.82,0,3,14.52
14,2,3,0,1.28,3,1,14.43
8,2,4,3,1.43,3,3,12.88
18,2,3,1,1.67,2,3,21.19
8,2,4,0,1.44,1,0,8.46
15,1,1,2,1.93,1,0,14.23
11,2,2,4,1.53,0,0,9.23
7,1,2,0,1.23,3,3,12.7
8,1,3,0,1.46,2,3,10.6
12,2,1,4,0.5,3,1,15.92
10,2,3,4,1.48,2,3,13.04
20,1,4,0,0.52,1,2,18.73
10,2,3,0,1.61,1,3,11.06
9,1,3,1,1.57,3,1,8.59
11,2,4,0,1.54,0,3,12.22
18,1,4,4,1.86,0,2,15.27
7,1,4,2,1.29,1,1,3.78
16,2,1,0,1.42,2,0,19.31
15,3,4,0,0.75,3,3,20.2
15,1,1,2,1.73,1,2,15.09
8,3,2,1,1.31,2,2,11.85
9,2,1,4,1.94,0,2,9.98
14,3,3,0,0.9,0,0,12.45
13,1,2,1,1.02,0,0,10.16
3,2,3,4,1.33,0,0,1.71
9,3,4,0,1.79,1,3,10.35
7,3,2,2,1.66,1,2,8.55
3,3,1,1,1.69,2,2,7.12
7,1,3,2,1.52,1,0,5.38
19,3,3,4,1.83,1,2,20.67
14,1,4,3,0.82,3,1,16.47
10,2,1,2,1.22,3,0,14.2
6,1,1,3,1.62,1,3,7.76
4,2,1,0,0.82,2,3,8.47
15,2,4,0,1.09,2,3,18.65
4,2,3,2,0.72,0,0,4.37
9,1,4,1,1.04,0,0,5.66
19,3,2,3,1.34,3,3,25.44
11,2,4,2,1.0,3,0,14.99
7,3,4,2,1.39,2,1,7.72
2,2,4,2,0.87,3,0,5.46
13,3,3,4,1.66,0,3,15.39
13,3,1,4,0.78,1,2,14.34
3,2,3,3,1.06,0,1,1.0
11,1,4,3,1.59,2,3,12.96
7,1,4,1,1.69,1,0,4.04
6,1,2,0,1.69,0,0,4.41
12,1,3,3,0.59,0,0,9.06
2,1,4,4,1.45,2,2,3.49
10,2,2,3,0.74,3,2,12.89
13,3,4,0,0.66,1,2,15.76
10,1,3,2,1.92,2,2,12.54
14,2,1,4,1.38,2,2,17.61
14,1,2,2,1.25,0,2,11.86
14,1,4,2,1.08,0,1,11.68
6,1,1,3,1.72,3,0,9.54
7,2,2,4,1.37,2,2,9.38
9,2,1,0,1.64,2,0,9.9
5,3,3,2,1.32,0,3,7.57
20,2,2,4,0.9,2,1,20.57
6,1,2,0,1.22,0,0,3.65
11,1,2,0,1.05,1,3,12.76
6,2,3,2,1.23,1,1,6.15
10,1,2,4,1.76,3,3,13.2
5,3,2,0,1.2,1,2,5.36
20,3,2,4,0.82,2,0,21.84
11,1,2,3,0.52,3,1,12.98
12,2,3,4,0.56,0,3,14.09
18,1,2,1,1.92,2,3,21.21
3,1,1,3,0.99,2,3,7.92
20,2,3,1,1.16,3,3,24.6
9,3,2,0,0.84,0,0,7.74
5,1,1,1,1.4,3,3,8.19
15,3,4,2,1.45,0,1,12.65
10,3,1,4,1.08,3,3,15.29
14,1,4,2,0.64,3,3,16.99
2,2,1,0,1.61,0,3,4.47
3,3,3,2,1.92,2,1,4.0
16,1,3,2,1.05,1,1,13.82
20,3,4,3,1.18,1,0,19.6
11,2,1,2,1.76,1,1,10.9
2,3,2,1,1.17,2,0,3.65
10,1,2,4,1.66,2,0,10.27
8,2,4,2,0.63,1,1,6.57
7,1,2,2,1.71,1,3,9.57
12,1,3,4,0.8,3,3,17.38
6,2,4,0,1.32,2,1,7.03
18,3,3,1,0.94,0,0,18.73
13,2,2,3,1.46,1,2,13.02
5,2,4,2,1.39,3,3,9.39
8,3,3,0,1.29,0,0,7.29
2,1,2,2,0.58,3,0,5.98
12,1,3,0,0.5,0,2,11.71
20,2,1,0,1.68,1,3,22.72
17,2,1,0,1.35,1,1,16.26
11,1,1,4,1.1,2,0,12.64
15,2,4,2,0.61,0,1,13.62
18,1,3,2,0.62,3,0,20.13
13,3,2,3,1.22,0,0,11.33
19,1,1,2,0.79,3,0,20.85
4,1,3,1,1.83,0,2,1.9
3,3,2,0,1.37,1,2,4.42
19,1,3,1,1.43,1,2,17.92
19,3,1,3,1.16,0,3,20.07
20,3,3,4,1.22,1,0,21.71
8,1,2,1,0.76,1,0,7.03
17,2,4,0,0.91,3,3,21.91
3,3,3,4,1.37,0,1,1.0
